frame,dx,dy,scale,angle,cum_x,cum_y,cum_scale,cum_angle,inliers
277,-0.692685,0.908899,1.000545,-0.034907,-4.823840,8.763792,0.999159,0.151783,160
278,-0.447648,0.193110,1.000273,0.008060,-5.271487,8.956902,0.999432,0.159843,172
279,-0.208665,-0.042554,1.000357,0.000306,-5.480152,8.914348,0.999788,0.160149,151
280,-42.730982,-55.746176,1.095643,3.554627,-48.211134,-46.831828,1.095411,3.714776,5
281,-0.711090,-0.560095,1.000061,0.035389,-48.922224,-47.391923,1.095477,3.750165,133
282,-18.190364,-0.003234,1.000253,-0.002862,-67.112589,-47.395157,1.095754,3.747303,84
283,-0.050971,0.047498,0.999931,-0.000034,-67.163560,-47.347659,1.095678,3.747269,77
284,0.200218,-0.007889,0.999930,0.005092,-66.963342,-47.355548,1.095601,3.752362,91
285,-0.107355,-0.089099,1.000033,0.000727,-67.070697,-47.444647,1.095638,3.753088,85
286,-0.058460,0.259103,0.999950,-0.015270,-67.129157,-47.185545,1.095583,3.737819,73
287,0.184512,0.246475,0.999814,-0.004686,-66.944645,-46.939069,1.095379,3.733133,94
288,-0.131823,0.040162,1.000012,-0.020998,-67.076468,-46.898907,1.095392,3.712135,93
289,0.097391,0.004159,0.999896,0.010939,-66.979076,-46.894748,1.095278,3.723074,101
290,-0.078537,-0.197823,0.999924,0.009480,-67.057613,-47.092571,1.095195,3.732554,86
291,0.174506,-0.327374,0.999897,0.018171,-66.883107,-47.419945,1.095082,3.750725,102
292,-0.164399,0.238505,1.000024,-0.017849,-67.047506,-47.181440,1.095109,3.732876,122
